x,y,s,Bx,By,Bs
-3.799999999999999906e-02,0.000000000000000000e+00,-9.303760649796366522e-01,0.000000000000000000e+00,7.149269763482187905e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.293760649796367623e-01,0.000000000000000000e+00,7.500077338826379896e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.283760649796368725e-01,0.000000000000000000e+00,7.866513530227018107e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.273760649796369826e-01,0.000000000000000000e+00,8.249196422421634030e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.263760649796370927e-01,0.000000000000000000e+00,8.648765013777631437e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.253760649796372029e-01,0.000000000000000000e+00,9.065879780092643187e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.243760649796373130e-01,0.000000000000000000e+00,9.501223248404632116e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.233760649796374231e-01,0.000000000000000000e+00,9.955500580824647351e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.223760649796375333e-01,0.000000000000000000e+00,1.042944016840093422e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.213760649796376434e-01,0.000000000000000000e+00,1.092379423501912587e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.203760649796377535e-01,0.000000000000000000e+00,1.143933945133550802e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.193760649796378637e-01,0.000000000000000000e+00,1.197687755873882000e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.183760649796379738e-01,0.000000000000000000e+00,1.253723600332715997e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.173760649796380839e-01,0.000000000000000000e+00,1.312126857988453078e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.163760649796381941e-01,0.000000000000000000e+00,1.372985608583353832e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.153760649796383042e-01,0.000000000000000000e+00,1.436390698513863648e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.143760649796384143e-01,0.000000000000000000e+00,1.502435808212531924e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.133760649796385245e-01,0.000000000000000000e+00,1.571217520517947765e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.123760649796386346e-01,0.000000000000000000e+00,1.642835390028180042e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.113760649796387447e-01,0.000000000000000000e+00,1.717392013433106663e-05,0.000000000000000000e+00
