x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.79948074, 0, -0.45015197, 0.00049107, -0.019114783, 2.6961501e-06, 0.0095946569, -0.0012721256, 0.2001845, -0.0063318974
0.79996588, 0, -0.44928927, 0.00049719127, -0.019141448, 2.6225192e-06, 0.009597087, -0.0012857887, 0.20313776, -0.0064206995
0.80045008, 0, -0.44842605, 0.00050339816, -0.019166553, 2.5482257e-06, 0.0095990034, -0.0012996524, 0.20613217, -0.0065098421
0.80093335, 0, -0.4475623, 0.00050969106, -0.019190058, 2.4733004e-06, 0.009600399, -0.0013136985, 0.20916788, -0.0065991884
0.80141569, 0, -0.44669804, 0.00051607022, -0.019211923, 2.3977753e-06, 0.0096012665, -0.0013279056, 0.21224495, -0.0066885886
0.8018971, 0, -0.44583325, 0.00052253576, -0.019232109, 2.3216834e-06, 0.0096015988, -0.0013422495, 0.21536339, -0.0067778802
0.80237758, 0, -0.44496795, 0.00052908761, -0.019250577, 2.2450584e-06, 0.0096013887, -0.0013567026, 0.21852315, -0.0068668867
0.80285712, 0, -0.44410212, 0.00053572556, -0.019267286, 2.1679353e-06, 0.0096006289, -0.001371234, 0.22172409, -0.0069554175
0.80333573, 0, -0.44323578, 0.0005424492, -0.019282198, 2.0903496e-06, 0.0095993121, -0.0013858092, 0.22496598, -0.0070432669
0.8038134, 0, -0.44236893, 0.0005492579, -0.019295273, 2.012338e-06, 0.0095974313, -0.0014003896, 0.22824852, -0.0071302138
0.80429014, 0, -0.44150156, 0.00055615082, -0.019306473, 1.9339377e-06, 0.0095949791, -0.001414933, 0.23157128, -0.0072160211
0.80476594, 0, -0.44063368, 0.0005631269, -0.019315759, 1.855187e-06, 0.0095919485, -0.0014293927, 0.23493375, -0.007300435
0.8052408, 0, -0.43976528, 0.00057018481, -0.019323092, 1.7761245e-06, 0.0095883323, -0.0014437175, 0.2383353, -0.0073831843
0.80571473, 0, -0.43889637, 0.00057732296, -0.019328435, 1.6967897e-06, 0.0095841235, -0.0014578517, 0.24177518, -0.0074639805
0.80618772, 0, -0.43802695, 0.00058453944, -0.019331752, 1.6172226e-06, 0.0095793152, -0.0014717346, 0.24525252, -0.0075425165
0.80665977, 0, -0.43715702, 0.00059183208, -0.019333006, 1.5374638e-06, 0.0095739006, -0.0014853006, 0.24876629, -0.0076184669
0.80713088, 0, -0.43628659, 0.00059919835, -0.019332162, 1.4575543e-06, 0.0095678729, -0.0014984789, 0.25231535, -0.0076914875
0.80760106, 0, -0.43541564, 0.00060663539, -0.019329187, 1.3775355e-06, 0.0095612258, -0.0015111935, 0.25589837, -0.0077612155
0.80807029, 0, -0.43454419, 0.00061413996, -0.019324047, 1.2974491e-06, 0.0095539529, -0.0015233631, 0.25951388, -0.0078272692
0.80853859, 0, -0.43367223, 0.00062170845, -0.019316711, 1.2173373e-06, 0.009546048, -0.0015349011, 0.26316024, -0.0078892486
0.80900594, 0, -0.43279977, 0.00062933684, -0.019307148, 1.1372424e-06, 0.0095375054, -0.0015457161, 0.26683562, -0.0079467361
0.80947235, 0, -0.4319268, 0.00063702069, -0.019295332, 1.0572066e-06, 0.0095283195, -0.0015557114, 0.27053802, -0.0079992977
0.80993782, 0, -0.43105334, 0.00064475512, -0.019281235, 9.7727266e-07, 0.0095184851, -0.001564786, 0.27426522, -0.0080464837
0.81040235, 0, -0.43017937, 0.00065253482, -0.019264833, 8.9748296e-07, 0.0095079975, -0.0015728346, 0.27801483, -0.0080878314
0.81086593, 0, -0.4293049, 0.00066035397, -0.019246105, 8.1788005e-07, 0.0094968521, -0.0015797484, 0.28178423, -0.0081228667
0.81132857, 0, -0.42842993, 0.00066820632, -0.01922503, 7.3850631e-07, 0.0094850451, -0.0015854158, 0.28557061, -0.0081511073
0.81179027, 0, -0.42755446, 0.00067608512, -0.019201591, 6.5940387e-07, 0.009472573, -0.0015897226, 0.28937092, -0.0081720657
0.81225102, 0, -0.42667849, 0.00068398311, -0.019175775, 5.8061472e-07, 0.009459433, -0.001592554, 0.29318191, -0.0081852537
0.81271082, 0, -0.42580203, 0.00069189258, -0.019147569, 5.0218051e-07, 0.0094456227, -0.0015937946, 0.2970001, -0.0081901866
0.81316968, 0, -0.42492507, 0.00069980531, -0.019116967, 4.2414245e-07, 0.0094311406, -0.0015933305, 0.30082181, -0.008186388
0.8136276, 0, -0.42404762, 0.00070771262, -0.019083963, 3.4654139e-07, 0.0094159857, -0.0015910499, 0.30464314, -0.0081733966
0.81408457, 0, -0.42316967, 0.00071560539, -0.019048557, 2.6941764e-07, 0.0094001579, -0.0015868451, 0.30845998, -0.0081507714
0.81454059, 0, -0.42229123, 0.00072347403, -0.019010752, 1.9281093e-07, 0.0093836579, -0.0015806138, 0.31226803, -0.0081180993
0.81499566, 0, -0.4214123, 0.00073130858, -0.018970554, 1.1676045e-07, 0.009366487, -0.0015722608, 0.31606281, -0.0080750022
0.81544978, 0, -0.42053288, 0.00073909871, -0.018927974, 4.1304592e-08, 0.0093486477, -0.0015616998, 0.31983965, -0.0080211446
0.81590296, 0, -0.41965297, 0.00074683376, -0.018883029, -3.3518882e-08, 0.0093301434, -0.0015488551, 0.32359377, -0.0079562415
0.81635518, 0, -0.41877257, 0.0007545028, -0.018835736, -1.0767306e-07, 0.0093109782, -0.0015336636, 0.32732024, -0.0078800664
0.81680646, 0, -0.41789169, 0.00076209472, -0.018786121, -1.811218e-07, 0.0092911576, -0.0015160762, 0.33101403, -0.0077924591
0.81725678, 0, -0.41701032, 0.00076959825, -0.018734213, -2.5382995e-07, 0.0092706876, -0.0014960599, 0.33467005, -0.0076933328
0.81770616, 0, -0.41612846, 0.00077700206, -0.018680044, -3.2576319e-07, 0.0092495759, -0.0014735992, 0.33828319, -0.0075826815
0.81815458, 0, -0.41524612, 0.00078429484, -0.018623654, -3.9688821e-07, 0.0092278307, -0.0014486974, 0.34184831, -0.0074605853
0.81860205, 0, -0.41436329, 0.0007914654, -0.018565084, -4.6717275e-07, 0.0092054616, -0.0014213781, 0.34536035, -0.0073272158
0.81904856, 0, -0.41347999, 0.00079850274, -0.018504382, -5.3658554e-07, 0.0091824791, -0.0013916857, 0.3488143, -0.0071828394
